['休宁', '29℃']
['邵阳', '30℃']
['三江', '30℃']
['新左旗', '9℃']
['梅州', '30℃']
['昭平', '31℃']
['界首', '17℃']
['岑巩', '28℃']
['梅县', '30℃']
['衡阳', '29℃']
['琼中', '30℃']
['思南', '25℃']
['浦北', '31℃']
['沅江', '29℃']
['七里河', '15℃']
['铁山港', '32℃']
['歙县', '27℃']
['淇滨', '16℃']
['固始', '19℃']
['随县', '17℃']
['济源', '14℃']
{'exc_type': 'IndexError', 'exc_message': ['list index out of range'], 'exc_module': 'builtins'}
['秦皇岛', '15℃']
['吉阳', '31℃']
['达拉特', '11℃']
['长沙', '29℃']
['祥符', '14℃']
['东城', '16℃']
['镇远', '30℃']
['点军', '17℃']
['华容', '28℃']
{'exc_type': 'IndexError', 'exc_message': ['list index out of range'], 'exc_module': 'builtins'}
['肇庆', '31℃']
['大名', '17℃']
['繁昌', '28℃']
['定州', '17℃']
['解放', '16℃']
['甘井子', '14℃']
['封丘', '14℃']
['辉南', '9℃']
['连云港', '18℃']
['新宁', '31℃']
['沙洋', '21℃']
['南昌', '31℃']
['衡水', '17℃']
['含山', '26℃']
['五大连池', '10℃']
['工农', '10℃']
['武宁', '30℃']
['新密', '12℃']
['涉县', '13℃']
['琼海', '30℃']
['长洲', '29℃']
['鼎湖', '31℃']
['城口', '17℃']
['上栗', '31℃']
['义安', '26℃']
['九龙坡', '23℃']
['全南', '33℃']
['望都', '17℃']
['荆门', '21℃']
['湾里', '32℃']
['岷县', '10℃']
['容城', '17℃']
['开封鼓楼', '14℃']
['唐县', '16℃']
['巴南', '21℃']
['宁德', '30℃']
['沧县', '17℃']
['六合', '18℃']
['嫩江', '10℃']
['龙湖', '31℃']
['阿拉善', '10℃']
['鄂城', '29℃']
['石门', '28℃']
['南陵', '26℃']
['桃城', '17℃']
['海力素', '11℃']
['进贤', '31℃']
['鄂尔多斯', '15℃']
['鹿泉', '16℃']
['五峰', '21℃']
['鄂伦春旗', '10℃']
['铜梁', '21℃']
['安义', '30℃']
['小二沟', '10℃']
['青龙', '13℃']
['德庆', '31℃']
['南开', '15℃']
['长汀', '30℃']
['营口', '13℃']
['武江', '31℃']
['惠安', '33℃']
['平果', '30℃']
['临颍', '13℃']
['平桂', '29℃']
['株洲', '29℃']
['黔东南', '28℃']
['清浦', '17℃']
['任丘', '17℃']
['巴马', '30℃']
['庐山', '24℃']
['农安', '10℃']
['禅城', '31℃']
['建宁', '33℃']
['紫金', '31℃']
['神农架', '22℃']
['向阳', '10℃']
['澄迈', '31℃']
['海城', '16℃']
['永春', '30℃']
['永兴', '33℃']
['滦南', '17℃']
['东风', '31℃']
['新右旗', '11℃']
['翔安', '31℃']
['平顶新华', '13℃']
['西塞山', '29℃']
['于都', '33℃']
['长顺', '22℃']
['爱民', '10℃']
['德江', '24℃']
['密云', '15℃']
['佛冈', '31℃']
['汝南', '15℃']
['抚宁', '16℃']
['北碚', '23℃']
['吴桥', '17℃']
['定安', '30℃']
['获嘉', '16℃']
['连平', '31℃']
['新乐', '17℃']
['焦作', '16℃']
['九江', '24℃']
['临西', '18℃']
['柳江', '30℃']
['河北', '15℃']
['临夏', '12℃']
['溧水', '21℃']
['尚志', '10℃']
['漠河', '5℃']
['鸡东', '10℃']
['罗田', '28℃']
['怀宁', '25℃']
['林口', '8℃']
['怀来', '11℃']
['天涯', '31℃']
['江津', '22℃']
['双城', '11℃']
['玉林', '30℃']
['化州', '31℃']
['北塔', '30℃']
['三元', '34℃']
['西林', '9℃']
['开平', '30℃']
['乐昌', '30℃']
['湖里', '31℃']
['文圣', '12℃']
['泗洪', '17℃']
['龙江', '12℃']
['永清', '17℃']
['大同', '12℃']
['华安', '29℃']
['喀喇沁左翼', '13℃']
['中山', '14℃']
['桥西', '16℃']
['雨花台', '21℃']
['河间', '16℃']
['汝州', '12℃']
['奉贤', '26℃']
['大城', '17℃']
['芜湖', '23℃']
['龙川', '30℃']
['平塘', '25℃']
['濮阳', '16℃']
['商水', '15℃']
['云溪', '27℃']
['秀峰', '33℃']
['湘潭', '25℃']
['城区', '12℃']
['丹江口', '20℃']
['古冶', '17℃']
['忻城', '16℃']
['怀安', '10℃']
['峰峰', '16℃']
['龙井', '11℃']
['金昌', '10℃']
['田东', '29℃']
['石阡', '26℃']
['维扬', '20℃']
['固阳', '9℃']
['滨海', '14℃']
['金明', '14℃']
['范县', '16℃']
['二道江', '10℃']
['马尾', '30℃']
['上犹', '33℃']
['普安', '19℃']
['苍梧', '16℃']
['杨浦', '25℃']
['托克托', '10℃']
['双清', '30℃']
['茂名', '32℃']
['宿松', '27℃']
['城关', '15℃']
['宁都', '34℃']
['钦北', '32℃']
['揭东', '31℃']
['青冈', '12℃']
['上饶', '33℃']
['华亭', '14℃']
['德保', '16℃']
['三亚', '31℃']
['牧野', '15℃']
['黎平', '29℃']
['东台', '20℃']
['淮北', '15℃']
['东宝', '21℃']
['习水', '20℃']
['周口', '15℃']
['宿豫', '17℃']
['汉阳', '24℃']
['山海关', '15℃']
['东至', '28℃']
['丹徒', '20℃']
['清水', '13℃']
['阳朔', '16℃']
['巨鹿', '16℃']
['双峰', '28℃']
['宣恩', '24℃']
['滨湖', '23℃']
['魏县', '17℃']
['大化', '30℃']
['固镇', '18℃']
['绥滨', '10℃']
['方正', '10℃']
['皇姑', '11℃']
['开州', '24℃']
['兴宁', '30℃']
['屯昌', '30℃']
['长沙', '29℃']
['淮上', '14℃']
['乐平', '33℃']
['景县', '17℃']
['新化', '26℃']
['新城', '10℃']
['郾城', '13℃']
['唐河', '14℃']
['冷水江', '27℃']
['辛集', '17℃']
['延庆', '12℃']
['辉县', '15℃']
['鄂温克', '9℃']
['武夷山', '33℃']
['通山', '29℃']
['天门', '26℃']
['宜城', '20℃']
['渝水', '33℃']
['黄州', '28℃']
['江夏', '29℃']
['桦川', '11℃']
['梨树', '9℃']
['蠡县', '18℃']
['长宁', '24℃']
['诏安', '31℃']
['齐齐哈尔', '13℃']
['凌河', '14℃']
['枣强', '17℃']
['江都', '20℃']
['河源', '31℃']
['西平', '14℃']
['五华', '31℃']
['镜湖', '23℃']
['扎赉诺尔', '9℃']
['万安', '34℃']
['满洲里', '9℃']
['黎川', '34℃']
['南谯', '25℃']
['长垣', '14℃']
['上思', '16℃']
['临漳', '16℃']
['岑溪', '30℃']
['月湖', '33℃']
['烈山', '17℃']
['泉港', '33℃']
['阿荣旗', '12℃']
['竹溪', '19℃']
['鹤壁', '16℃']
['慈利', '27℃']
['临澧', '27℃']
['雁峰', '31℃']
['良庆', '31℃']
['衡山', '29℃']
['蚌山', '14℃']
['睢宁', '18℃']
['双台子', '13℃']
['梁园', '16℃']
['洮北', '14℃']
['新河', '16℃']
['汝阳', '13℃']
['四方台', '10℃']
['新青', '9℃']
['惠东', '16℃']
['临高', '31℃']
['肃南', '10℃']
['徐州', '18℃']
['隆安', '16℃']
['砀山', '16℃']
['新乡', '15℃']
['陈旗', '10℃']
['商丘', '16℃']
['南澳', '30℃']
['辽阳', '11℃']
['合肥', '20℃']
['涧西', '12℃']
['南乐', '15℃']
['晋江', '30℃']
['保亭黎族苗族', '30℃']
{'exc_type': 'IndexError', 'exc_message': ['list index out of range'], 'exc_module': 'builtins'}
['郎溪', '25℃']
['新林', '8℃']
['惠阳', '31℃']
['新建', '32℃']
['罗山', '17℃']
['句容', '20℃']
['青县', '16℃']
['松山', '11℃']
['冷水滩', '31℃']
['舟曲', '17℃']
['江口', '28℃']
['仪征', '19℃']
['播州', '22℃']
['洮南', '14℃']
['东胜', '9℃']
['宝丰', '13℃']
['修文', '20℃']
['红旗', '15℃']
['浑江', '9℃']
['埇桥', '17℃']
['邢台桥西', '16℃']
['东岗', '7℃']
['温县', '15℃']
['金城江', '31℃']
['沙县', '32℃']
['公安', '26℃']
['辽阳', '12℃']
['万宁', '30℃']
['覃塘', '16℃']
['黄山', '28℃']
['潮安', '32℃']
['淮安', '16℃']
['龙亭', '14℃']
['白沙', '30℃']
['安新', '17℃']
['玄武', '21℃']
['高安', '34℃']
['孙吴', '12℃']
['张家界永定', '25℃']
{'exc_type': 'IndexError', 'exc_message': ['list index out of range'], 'exc_module': 'builtins'}
['绥化', '11℃']
['东安', '10℃']
['吉水', '34℃']
['冀州', '16℃']
['海丰', '32℃']
['许昌', '13℃']
['吴川', '31℃']
['道县', '31℃']
['二道', '10℃']
['武隆', '23℃']
['湘桥', '32℃']
['潼南', '22℃']
['黄埔', '31℃']
['宁国', '25℃']
['邯郸', '17℃']
['平江', '24℃']
['行唐', '16℃']
['封开', '31℃']
['武陵', '28℃']
['阳原', '9℃']
['龙安', '16℃']
['广丰', '33℃']
['新丰', '31℃']
['柳州', '30℃']
['贵池', '23℃']
['敦煌', '15℃']
['明光', '20℃']
['卢氏', '11℃']
['北市', '17℃']
['抚州', '33℃']
['安定', '12℃']
['漯河', '13℃']
['青山湖', '31℃']
['贞丰', '21℃']
['和龙', '10℃']
['张家港', '22℃']
['金秀', '16℃']
['安溪', '30℃']
['邱县', '18℃']
['浩尔吐', '10℃']
['黄骅', '17℃']
['深泽', '17℃']
['临泽', '13℃']
['秀英', '30℃']
['海安', '21℃']
['古塔', '14℃']
['九台', '11℃']
['安顺', '20℃']
['清流', '31℃']
['绥阳', '22℃']
['福鼎', '30℃']
['临江', '9℃']
['赫章', '21℃']
['霍邱', '20℃']
['大方', '19℃']
['连江', '30℃']
['狮子山', '26℃']
['酒泉', '12℃']
['万盛', '21℃']
['莲池', '17℃']
['兴业', '16℃']
['萨尔图', '14℃']
['蕉城', '30℃']
['阳江', '31℃']
['恩施', '22℃']
['灵宝', '14℃']
['太仓', '24℃']
['文安', '17℃']
['枣阳', '16℃']
['中泉子', '14℃']
['黄陂', '24℃']
['澧县', '27℃']
['望城', '29℃']
['七星', '33℃']
['平川', '14℃']
['船营', '10℃']
['宜都', '19℃']
['江城', '31℃']
['南岳', '23℃']
['梧州', '29℃']
['闽侯', '30℃']
['安国', '16℃']
['湘潭', '25℃']
['龙沙', '13℃']
['太和', '14℃']
['滴道', '9℃']
['乌中旗', '9℃']
['桂林', '33℃']
['清河', '12℃']
['遵义', '22℃']
['萝岗', '31℃']
['老城', '12℃']
['雷山', '27℃']
['松北', '11℃']
['夏河', '10℃']
['鄂温克旗', '9℃']
['伊克乌素', '12℃']
['莆田', '32℃']
['开阳', '22℃']
['南京', '21℃']
['岳阳楼', '26℃']
['硚口', '24℃']
['永福', '33℃']
['武冈', '29℃']
['民权', '15℃']
['鲤城', '33℃']
['和林格尔', '11℃']
['宽城满族', '16℃']
['修武', '15℃']
['娄星', '27℃']
['黄平', '28℃']
['黄石', '29℃']
['阜新', '10℃']
['广德', '23℃']
['围场', '10℃']
{'exc_type': 'IndexError', 'exc_message': ['list index out of range'], 'exc_module': 'builtins'}
['西峰', '15℃']
['崇信', '15℃']
['建邺', '21℃']
['乐业', '16℃']
['田阳', '16℃']
['永吉', '10℃']
['沁阳', '15℃']
['集贤', '10℃']
['桂林象山', '33℃']
['大连', '14℃']
['昭平', '16℃']
['陆河', '31℃']
['敖汉', '10℃']
['资源', '16℃']
['环县', '13℃']
['清江浦', '16℃']
['川汇', '15℃']
['仁怀', '21℃']
['南山', '10℃']
['康平', '11℃']
['六盘水', '18℃']
['江汉', '24℃']
['新乡', '15℃']
['铜官山', '26℃']
['抚远', '11℃']
['锡林高勒', '13℃']
['连城', '31℃']
['枞阳', '27℃']
['麦积', '14℃']
['鸠江', '23℃']
['会宁', '13℃']
['璧山', '22℃']
['沈丘', '16℃']
['祁阳', '32℃']
['朝阳', '16℃']
['光泽', '32℃']
['花都', '31℃']
['三峡', '19℃']
['高碑店', '18℃']
['昌平', '17℃']
['阿鲁科尔沁旗', '12℃']
['龙岩', '30℃']
['濮阳', '15℃']
['邢台', '16℃']
['天祝', '12℃']
['溪湖区', '11℃']
['华龙', '16℃']
['红桥', '15℃']
['陇南', '19℃']
['东山', '10℃']
['鹤城', '27℃']
['镇江', '20℃']
['凤冈', '23℃']
['康保', '6℃']
['昌江', '31℃']
['深圳', '31℃']
['呼兰', '11℃']
['桐柏', '15℃']
['龙门', '32℃']
['大观', '23℃']
['城中', '30℃']
['富拉尔基', '12℃']
['清镇', '22℃']
['阳春', '31℃']
['福田', '31℃']
['叶集', '23℃']
['铁东', '12℃']
['上高', '33℃']
['福清', '29℃']
{'exc_type': 'IndexError', 'exc_message': ['list index out of range'], 'exc_module': 'builtins'}
['潮南', '32℃']
['滦县', '17℃']
['崇武', '30℃']
['赫山', '28℃']
['广宗', '16℃']
['洛龙', '12℃']
['虞城', '15℃']
['襄阳襄城', '19℃']
['安陆', '26℃']
['新罗', '30℃']
['汉南', '24℃']
['海珠', '31℃']
['桃源', '27℃']
['武威', '12℃']
['金州', '14℃']
['灵川', '34℃']
['新安', '13℃']
['任县', '16℃']
['十堰', '15℃']
['新华', '16℃']
['漳浦', '30℃']
['和平', '15℃']
['新余', '33℃']
['台江', '27℃']
['金安', '23℃']
['雨花', '29℃']
['金溪', '34℃']
['秀屿', '32℃']
['黔南州', '25℃']
['禹州', '13℃']
['阳东', '31℃']
['顺昌', '31℃']
['钟祥', '18℃']
['德惠', '10℃']
['郧西', '20℃']
['东源', '31℃']
['盐城', '19℃']
['达茂旗', '8℃']
['潜江', '28℃']
['湄潭', '23℃']
['振安', '13℃']
['从江', '30℃']
['宣州', '25℃']
['大埔', '32℃']
['莲花', '33℃']
['河西', '15℃']
['赞皇', '16℃']
['乌后旗', '11℃']
['卢龙', '15℃']
['梁溪', '23℃']
['裕安', '23℃']
['平房', '16℃']
['延津', '15℃']
['武穴', '28℃']
['梁平', '24℃']
['建始', '23℃']
['新吴', '23℃']
['磐石', '10℃']
['苏仙', '33℃']
['龙港', '14℃']
['汤阴', '16℃']
['赤壁', '29℃']
['天长', '21℃']
['元氏', '18℃']
['平山', '15℃']
['顺义', '16℃']
['翁源', '30℃']
['东宁', '12℃']
['大祥', '30℃']
['弓长岭', '12℃']
['镇赉', '13℃']
['旌德', '28℃']
['浦口', '20℃']
['浏阳', '29℃']
['丹阳', '20℃']
['涡阳', '17℃']
['万山', '26℃']
['来安', '25℃']
['文峰', '16℃']
['三山', '23℃']
['北塘', '23℃']
['漳县', '12℃']
['盐田', '31℃']
['陵水', '31℃']
['紫云', '22℃']
['邵阳', '30℃']
['广河', '11℃']
['马山', '29℃']
['黔西', '22℃']
['崆峒', '14℃']
['赣州', '34℃']
['通州', '16℃']
['望奎', '12℃']
['云城', '31℃']
['谢家集', '19℃']
['梨树', '12℃']
['南皮', '17℃']
['天宁', '22℃']
['平谷', '16℃']
['掇刀', '21℃']
['佛山', '31℃']
['昌黎', '15℃']
['昌江区', '34℃']
{'exc_type': 'IndexError', 'exc_message': ['list index out of range'], 'exc_module': 'builtins'}
['威宁', '17℃']
['望花', '10℃']
['孟州', '14℃']
['惠州', '31℃']
['灵璧', '19℃']
['钦南', '32℃']
['社旗', '13℃']
['吉州', '35℃']
['南昌', '31℃']
['漳州', '31℃']
['北关', '16℃']
['利辛', '17℃']
['伍家岗', '24℃']
['莫力达瓦', '10℃']
['绥芬河', '7℃']
['兴国', '34℃']
['庆城', '15℃']
['南岗', '11℃']
['上蔡', '15℃']
['武进', '22℃']
['富裕', '11℃']
['龙胜', '31℃']
['江州', '29℃']
['琅琊', '25℃']
['九江', '24℃']
['隆林', '27℃']
['向阳', '11℃']
['茅箭', '15℃']
['毕节', '20℃']
['舞钢', '14℃']
['南召', '13℃']
['新沂', '17℃']
['三沙', '31℃']
['清丰', '16℃']
['大余', '33℃']
['清苑', '17℃']
['横县', '30℃']
['郁南', '30℃']
['平坝', '21℃']
['赣县', '34℃']
['朝阳', '13℃']
['廉江', '31℃']
['长阳', '18℃']
['朝阳', '16℃']
['城厢', '32℃']
['苏家屯', '11℃']
['亳州', '14℃']
['碾子山', '12℃']
['盐都', '19℃']
['天峨', '16℃']
['虎丘', '24℃']
['雅布赖', '14℃']
['肃州', '12℃']
['金水', '14℃']
['白云鄂博', '8℃']
['大新', '16℃']
['衡阳', '31℃']
['丹寨', '24℃']
['麻城', '29℃']
['法库', '11℃']
['永登', '13℃']
['衡南', '31℃']
['上街', '14℃']
['横峰', '33℃']
['平江', '29℃']
['山丹', '12℃']
['大港', '15℃']
['浑南', '11℃']
['新郑', '13℃']
['抚松', '7℃']
['藤县', '29℃']
['屏南', '26℃']
['山城', '16℃']
['印江', '24℃']
['瓜州', '14℃']
['渭源', '10℃']
['贾汪', '18℃']
['兴隆台', '13℃']
['邓州', '15℃']
['丰南', '17℃']
['娄底', '27℃']
['南县', '28℃']
['会同', '30℃']
['润州', '20℃']
['敦化', '9℃']
['恭城', '33℃']
['惠来', '32℃']
['宝国吐', '11℃']
['来宾', '31℃']
['全州', '33℃']
['涠洲岛', '30℃']
['靖州', '30℃']
['高邮', '19℃']
['青原', '35℃']
['东辽', '10℃']
['电白', '31℃']
['南阳', '14℃']
['西市', '13℃']
['沧州', '17℃']
['锦州', '14℃']
['汕尾', '31℃']
['天津', '15℃']
['榆树', '10℃']
['靖宇', '8℃']
['源城', '31℃']
['融水', '31℃']
['旅顺口', '14℃']
['正阳', '15℃']
['七星关', '20℃']
['南沙', '31℃']
['谷城', '15℃']
['祁东', '31℃']
['新邵', '30℃']
['增城', '31℃']
['岳塘', '25℃']
['博白', '16℃']
['蓝山', '32℃']
['宣化', '11℃']
['新晃', '28℃']
['东西湖', '24℃']
['郴州', '33℃']
['土左旗', '9℃']
['张家界', '25℃']
['新北', '22℃']
['百色', '29℃']
['桂平', '30℃']
['振兴', '13℃']
['中方', '27℃']
['天心', '29℃']
['启东', '23℃']
['钟楼', '22℃']
['双滦', '14℃']
['安达', '11℃']
['灌南', '18℃']
['石鼓', '31℃']
['灌云', '18℃']
['当阳', '24℃']
['肥东', '25℃']
['新县', '19℃']
['保康', '14℃']
['玉山', '33℃']
['盱眙', '16℃']
['张家口桥东', '10℃']
['徽州', '27℃']
['八里罕', '12℃']
['鞍山铁西', '12℃']
['黔江', '26℃']
['濠江', '32℃']
['濂溪', '24℃']
['怀化', '27℃']
['鄢陵', '12℃']
['兴山', '10℃']
['南雄', '32℃']
['桥东', '17℃']
['凉州', '12℃']
['上饶', '33℃']
['册亨', '21℃']
['大足', '22℃']
['安源', '31℃']
['湘东', '31℃']
['从化', '30℃']
['开县', '24℃']
['海口', '30℃']
['将乐', '32℃']
['息烽', '22℃']
['宝清', '10℃']
['深州', '16℃']
['红山', '11℃']
['通榆', '15℃']
['杜尔伯特', '11℃']
['柘城', '15℃']
['西青', '15℃']
['武宣', '16℃']
['龙海', '31℃']
['龙潭', '10℃']
['鹤山', '30℃']
['马坡岭', '29℃']
['安阳', '16℃']
['福泉', '24℃']
['涿州', '17℃']
['柳南', '30℃']
['端州', '31℃']
['城步', '30℃']
['下关', '21℃']
['河池', '31℃']
['平舆', '15℃']
['无锡', '24℃']
['环江', '29℃']
['吴中', '24℃']
['永安', '33℃']
['张家口', '10℃']
['洪山', '24℃']
['云梦', '23℃']
['红安', '28℃']
['盘山', '13℃']
['召陵', '13℃']
['乐亭', '17℃']
['平山', '11℃']
['大庆', '14℃']
['沽源', '5℃']
['故城', '17℃']
['荔波', '28℃']
['曹妃甸', '16℃']
['荔浦', '16℃']
['南岸', '21℃']
['林州', '15℃']
['卫辉', '16℃']
['固安', '17℃']
['榕城', '31℃']
['太和', '18℃']
['松桃', '28℃']
['岫岩', '12℃']
['凤泉', '15℃']
['南丰', '34℃']
['阿拉善右旗', '12℃']
['肇东', '11℃']
['北林区', '11℃']
['张湾', '15℃']
['成安', '15℃']
['白银', '14℃']
['诺尔贡', '11℃']
['长丰', '20℃']
['永靖', '14℃']
['泾川', '16℃']
['余庆', '24℃']
['右江', '29℃']
['江宁', '21℃']
['永修', '31℃']
